recino	             (intr.)
recordor	             (intr.)
refero	     ~rre, rettulī, relātum
refert	     ~rre, rētulit
reflecto	             (intr.)
remitto	             (intr.)
reor	     rērī, ratus
reparco	     ~ere, repersi
repello	     ~ere, reppulī, repulsum
repeto	             (intr.)
res	     reī
res publica	     reī publicae
resideo	     ~ēre, resēdī (resessum)
resido	     ~ere, resēdī (resīdī)
retardo	             (intr.)
retero	     ~ere, retrīuī, retrītum
retineo	             (intr.)
retracto	             (intr.)
retro	        (and 
retundo	     ~ere, rettudī (retudī), retūsum, retunsum
reuiuesco	     ~escere, reuixī, reuictum
rex1	     rēgis
rhus	     rhūs
rimor	             (?intr.)
ringor	     ~ī, (rictus)
ros	             (neut.)
roto	             (intr.)
rotula	           Apparently also 
rubellio	     -ōnis
rumo	       archaic equivalent of rūminō.
rumpo	     rumpere, rūpī, ruptum
rus	     rūris
sal	     salis
sandaserion	                of sandarēsos.
saucunculus	           dub. word in Petronius: see also sangunculus.
scabo	     ~ere, scābī
scalae	           Rarely sg. 
scindo	     ~ere, scicidī or scidī, scissum
scirpiculus2	               surp-
scopae	           Rarely sg. 
scora	           cj. 
scordastus	           (? or 
scribo	             (intr.)
scriptito	             (intr.)
scultimidoni	   (genitive?) 
scyzinum	           a (probably corrupt) name for some herbal wine.
secundus1	     ~a, ~um; comparative, superlative (in senses 1-4) ~ior, ~issimus
secus2	               sequius.
sedeo	     ~ēre, sēdī, sessum
sedo	             (intr.)
senex	     ~is, senior
seps	     sēpos
septentriones	            Subsequently sg. form 
sequo	   (apparently false deduction by Gellius from 
sequor	             (intr.)
sero1	     ~ere, sēuī, satum
serraculum	           (dub. word in Ulpian, explained by glossator as 'steering oar'.).
sesqui	          prefix
sexus	             (neut.)
sicco	             (intr.)
significo	             (intr.)
sillybus	             (?f.)
simpuuium	            var. of simpulum.
simulo	             (intr.)
sinapi	     senāpe
sino	     sinere, sīuī (siī), situm
sinuo	             (intr.)
sisto	     ~ere, stetī or stitī, statum
sium	     siī
sol	     sōlis
sopitio	   probably f.l. for sōpiō2.
spattaro	     (? ~ōnis
specus	                 (neut.)
sperno	     ~ere, sprēuī, sprētum
spero	             (intr.)
spondeo	     ~dēre, spopondī (spep-) ~sum
st	        (interjection enjoining silence) Hush! sh!
sterno	     ~ere, strāuī, strātum
steroma	        (apparently) = Greek στρω̑μα, a pavement.
stilus	           Sometimes (erroneously associated with Greek στυ̑λος) written 
stips1	     stipis
sto	     stāre, stetī, statum
stratiotis	           (or? 
subalapa	           editorial var. for subalapō.
subfarcino	   see also suffarcinō etc.
subgero	   see also suggerō etc.
subnascor	     ~ī, subnātus
subparus	   see also supparus etc.
subsum	     ~esse, suffuī
subtus	          (prep.)
suffercitus	        dub. reading in 
suffero	     ~rre, sustulī, sublātum
suffusculus	   see also subfusculus etc.
sum1	     esse, fuī
suo	     suere, suī, sūtum
supergredior	             (intr.)
supero	             (intr.)
suppeto	             (?tr.)
sus1	     suis
sus2	     sa, sum
suspicio1	             (intr.)
susque deque	   (?  susque et dēque
sustineo	             (intr.)
